Year,Disaster Group,Disaster Subgroup,Disaster Type,Disaster Subtype,Disaster Subsubtype,Country,Associated Dis,Associated Dis2,Dis Mag Value,Dis Mag Scale,Total Deaths,No Injured,No Affected,No Homeless,Total Affected,Total Damages ('000 US$),"Total Damages, Adjusted ('000 US$)",CPI
2002,Natural,Geophysical,Earthquake,Ground movement,,China,,,5,Richter,,,330,48,378,,,66.3819637
2002,Natural,Geophysical,Earthquake,Ground movement,,China,,,6,Richter,2,,65500,,65500,,,66.3819637
2002,Natural,Geophysical,Earthquake,Ground movement,,Taiwan (Province of China),Tsunami/Tidal wave,"Slide (land, mud, snow, rock)",7,Richter,4,200,300,,500,25000,37661,66.3819637
2003,Natural,Geophysical,Earthquake,Ground movement,,Japan,Fire,"Slide (land, mud, snow, rock)",7,Richter,,143,2160,,2303,233000,343208,67.88889569
2003,Natural,Geophysical,Earthquake,Ground movement,,Japan,Fire,Tsunami/Tidal wave,7,Richter,2,773,,,773,563000,829296,67.88889569
2003,Natural,Geophysical,Earthquake,Ground movement,,China,"Slide (land, mud, snow, rock)",,6,Richter,16,584,1250000,45000,1295584,75000,110475,67.88889569
2003,Natural,Geophysical,Earthquake,Ground movement,,Japan,"Slide (land, mud, snow, rock)",,6,Richter,,569,17403,219,18191,411000,605401,67.88889569
2003,Natural,Geophysical,Earthquake,Ground movement,,China,,,6,Richter,268,4000,510000,3000,517000,157000,231260,67.88889569
2003,Natural,Geophysical,Earthquake,Ground movement,,China,,,6,Richter,,,3300,,3300,,,67.88889569
2003,Natural,Geophysical,Earthquake,Ground movement,,China,,,6,Richter,1,3,,8000,8003,,,67.88889569
2003,Natural,Geophysical,Earthquake,Ground movement,,China,,,5,Richter,4,1000,415000,39500,455500,167000,245990,67.88889569
2003,Natural,Geophysical,Earthquake,Ground movement,,China,,,6,Richter,3,56,60000,,60056,60000,88380,67.88889569
2003,Natural,Geophysical,Earthquake,Ground movement,,China,,,6,Richter,9,43,50000,225000,275043,40000,58920,67.88889569
2003,Natural,Geophysical,Earthquake,Ground movement,,China,,,5,Richter,1,126,18243,5000,23369,,,67.88889569
2003,Natural,Geophysical,Earthquake,Ground movement,,China,,,6,Richter,4,65,490000,3000,493065,,,67.88889569
2003,Natural,Geophysical,Earthquake,Ground movement,,China,,,6,Richter,11,73,3510,2435,6018,1933,2847,67.88889569
2003,Natural,Geophysical,Earthquake,Ground movement,,China,,,5,Richter,,4,10000,,10004,,,67.88889569
2004,Natural,Geophysical,Earthquake,Ground movement,,Japan,Fire,"Slide (land, mud, snow, rock)",7,Richter,40,3183,59000,,62183,28000000,40168454,69.70644216
2004,Natural,Geophysical,Earthquake,Ground movement,,China,,,6,Richter,,100,190000,,190100,74000,106159,69.70644216
