Dis No,Year,Disaster Type,Disaster Subtype,Country,Region,Continent,Associated Dis,Associated Dis2,Dis Mag Value,Total Deaths,No Injured,No Affected,No Homeless,Total Affected,"Total Damages, Adjusted ('000 US$)",CPI
2002-0122-AFG,2002,Earthquake,Ground movement,Afghanistan,Southern Asia,Asia,"Slide (land, mud, snow, rock)",,6,150,13,3500,,3513,,66.3819637
2002-0175-AFG,2002,Earthquake,Ground movement,Afghanistan,Southern Asia,Asia,"Slide (land, mud, snow, rock)",,6,1000,1228,80000,10000,91228,,66.3819637
2002-0208-AFG,2002,Earthquake,Ground movement,Afghanistan,Southern Asia,Asia,"Slide (land, mud, snow, rock)",,6,50,150,6000,,6150,,66.3819637
2002-0643-IDN,2002,Earthquake,Tsunami,Indonesia,South-Eastern Asia,Asia,"Slide (land, mud, snow, rock)",Tsunami/Tidal wave,8,8,632,8450,,9082,,66.3819637
2002-0584-IND,2002,Earthquake,Ground movement,India,Southern Asia,Asia,Tsunami/Tidal wave,,7,2,,,200,200,,66.3819637
2002-0512-IDN,2002,Earthquake,Ground movement,Indonesia,South-Eastern Asia,Asia,,,6,,48,2500,,2548,,66.3819637
2002-0820-IDN,2002,Earthquake,Ground movement,Indonesia,South-Eastern Asia,Asia,,,6,,,155,,155,,66.3819637
2002-0822-IDN,2002,Earthquake,Ground movement,Indonesia,South-Eastern Asia,Asia,,,7,3,60,,,60,,66.3819637
2002-0107-IRN,2002,Earthquake,Ground movement,Iran (Islamic Republic of),Southern Asia,Asia,,,5,1,30,750,,780,,66.3819637
2002-0246-IRN,2002,Earthquake,Ground movement,Iran (Islamic Republic of),Southern Asia,Asia,,,5,2,56,20000,,20056,,66.3819637
2002-0378-IRN,2002,Earthquake,Ground movement,Iran (Islamic Republic of),Southern Asia,Asia,,,7,227,1300,110000,,111300,451930,66.3819637
2002-0804-IRN,2002,Earthquake,Ground movement,Iran (Islamic Republic of),Southern Asia,Asia,,,5,,15,15000,,15015,,66.3819637
2002-0821-IRN,2002,Earthquake,Ground movement,Iran (Islamic Republic of),Southern Asia,Asia,,,6,,5,,,5,,66.3819637
2003-0069-IDN,2003,Earthquake,Ground movement,Indonesia,South-Eastern Asia,Asia,,,6,,2,2500,,2502,,67.88889569
2003-0068-IRN,2003,Earthquake,Ground movement,Iran (Islamic Republic of),Southern Asia,Asia,,,5,,80,6750,3250,10080,,67.88889569
2002-0692-PAK,2002,Earthquake,Ground movement,Pakistan,Southern Asia,Asia,"Slide (land, mud, snow, rock)",,5,17,65,11000,4000,15065,,66.3819637
2002-0721-PAK,2002,Earthquake,Ground movement,Pakistan,Southern Asia,Asia,"Slide (land, mud, snow, rock)",,6,19,40,140742,,140782,,66.3819637
2002-0129-PHL,2002,Earthquake,Ground movement,Philippines (the),South-Eastern Asia,Asia,Tsunami/Tidal wave,,8,15,100,73351,,73451,2582,66.3819637
2002-0122-PAK,2002,Earthquake,Ground movement,Pakistan,Southern Asia,Asia,,,6,3,,,,,,66.3819637
2003-0236-AFG,2003,Earthquake,Ground movement,Afghanistan,Southern Asia,Asia,"Slide (land, mud, snow, rock)",,5,1,1,,1000,1001,,67.88889569
2004-0436-AFG,2004,Earthquake,Ground movement,Afghanistan,Southern Asia,Asia,,,5,2,40,,1000,1040,,69.70644216
2003-0452-BGD,2003,Earthquake,Ground movement,Bangladesh,Southern Asia,Asia,"Slide (land, mud, snow, rock)",,6,2,25,2500,,2525,,67.88889569
2003-0254-IDN,2003,Earthquake,Ground movement,Indonesia,South-Eastern Asia,Asia,,,7,1,7,100,140,247,,67.88889569
2003-0414-IDN,2003,Earthquake,Ground movement,Indonesia,South-Eastern Asia,Asia,,,6,,,500,,500,,67.88889569
2003-0322-IRN,2003,Earthquake,Ground movement,Iran (Islamic Republic of),Southern Asia,Asia,,,5,,1,1090,,1091,,67.88889569
2003-0438-IRN,2003,Earthquake,Ground movement,Iran (Islamic Republic of),Southern Asia,Asia,,,6,1,25,,17500,17525,31914,67.88889569
2003-0630-IRN,2003,Earthquake,Ground movement,Iran (Islamic Republic of),Southern Asia,Asia,,,7,26796,22628,200000,45000,267628,736497,67.88889569
2003-0649-IRN,2003,Earthquake,Ground movement,Iran (Islamic Republic of),Southern Asia,Asia,,,5,,5,710,10,725,,67.88889569
2004-0040-IDN,2004,Earthquake,Ground movement,Indonesia,South-Eastern Asia,Asia,Fire,,7,37,682,13390,,14072,1435,69.70644216
2004-0607-IDN,2004,Earthquake,Ground movement,Indonesia,South-Eastern Asia,Asia,Fire,,7,32,213,12620,,12833,78902,69.70644216
2004-0562-IDN,2004,Earthquake,Ground movement,Indonesia,South-Eastern Asia,Asia,"Slide (land, mud, snow, rock)",,8,33,311,83070,,83381,,69.70644216
2004-0234-IRN,2004,Earthquake,Ground movement,Iran (Islamic Republic of),Southern Asia,Asia,"Slide (land, mud, snow, rock)",,6,35,278,220,,498,236707,69.70644216
2004-0659-IDN,2004,Earthquake,Tsunami,Indonesia,South-Eastern Asia,Asia,Tsunami/Tidal wave,,9,165708,,,532898,532898,6386210,69.70644216
2004-0659-BGD,2004,Earthquake,Tsunami,Bangladesh,Southern Asia,Asia,,,9,2,,,,,717294,69.70644216
2004-0001-IDN,2004,Earthquake,Ground movement,Indonesia,South-Eastern Asia,Asia,,,6,1,40,30000,,30040,17215,69.70644216
2004-0088-IDN,2004,Earthquake,Ground movement,Indonesia,South-Eastern Asia,Asia,,,5,5,7,500,,507,,69.70644216
2004-0659-IND,2004,Earthquake,Tsunami,India,Southern Asia,Asia,,,9,16389,6913,647599,,654512,1467296,69.70644216
2004-0659-LKA,2004,Earthquake,Tsunami,Sri Lanka,Southern Asia,Asia,,,9,35399,23176,516130,480000,1019306,1888635,69.70644216
2005-0160-IDN,2005,Earthquake,Ground movement,Indonesia,South-Eastern Asia,Asia,Tsunami/Tidal wave,,9,915,1146,104167,,105313,,72.07141045
2005-0031-IDN,2005,Earthquake,Ground movement,Indonesia,South-Eastern Asia,Asia,,,6,1,4,680,,684,,72.07141045
2005-0016-IRN,2005,Earthquake,Ground movement,Iran (Islamic Republic of),Southern Asia,Asia,,,5,,110,,,110,,72.07141045
2005-0092-IRN,2005,Earthquake,Ground movement,Iran (Islamic Republic of),Southern Asia,Asia,,,6,612,1411,93355,,94766,111001,72.07141045
2004-0054-PAK,2004,Earthquake,Ground movement,Pakistan,Southern Asia,Asia,"Slide (land, mud, snow, rock)",,6,24,63,10765,2320,13148,,69.70644216
2004-0659-MDV,2004,Earthquake,Tsunami,Maldives,Southern Asia,Asia,Tsunami/Tidal wave,,9,102,2214,12000,13000,27214,674400,69.70644216
2004-0659-MYS,2004,Earthquake,Tsunami,Malaysia,South-Eastern Asia,Asia,Tsunami/Tidal wave,,9,80,767,,4296,5063,717294,69.70644216
2004-0659-THA,2004,Earthquake,Tsunami,Thailand,South-Eastern Asia,Asia,Tsunami/Tidal wave,,9,8345,8457,58550,,67007,1434588,69.70644216
2004-0659-MMR,2004,Earthquake,Tsunami,Myanmar,South-Eastern Asia,Asia,,,9,71,,12500,3200,15700,717294,69.70644216
2005-0575-AFG,2005,Earthquake,Ground movement,Afghanistan,Southern Asia,Asia,,,8,1,,,,,69,72.07141045
2005-0686-AFG,2005,Earthquake,Ground movement,Afghanistan,Southern Asia,Asia,,,7,5,1,500,,501,,72.07141045
2006-0405-AFG,2006,Earthquake,Ground movement,Afghanistan,Southern Asia,Asia,,,6,1,,740,195,935,,74.39638749
2005-0575-IND,2005,Earthquake,Ground movement,India,Southern Asia,Asia,Fire,,8,1309,6622,,150000,156622,1387513,72.07141045
2005-0654-IRN,2005,Earthquake,Ground movement,Iran (Islamic Republic of),Southern Asia,Asia,,,6,13,100,,,100,,72.07141045
2005-0738-IRN,2005,Earthquake,Ground movement,Iran (Islamic Republic of),Southern Asia,Asia,,,6,,,21912,,21912,,72.07141045
2006-0678-IDN,2006,Earthquake,Ground movement,Indonesia,South-Eastern Asia,Asia,"Slide (land, mud, snow, rock)",,6,8,200,1000,,1200,,74.39638749
2006-0231-IDN,2006,Earthquake,Tsunami,Indonesia,South-Eastern Asia,Asia,Tsunami/Tidal wave,,7,3,2,1200,,1202,,74.39638749
2006-0279-IDN,2006,Earthquake,Ground movement,Indonesia,South-Eastern Asia,Asia,,,6,5778,137883,2340745,699295,3177923,4166869,74.39638749
2006-0705-IDN,2006,Earthquake,Ground movement,Indonesia,South-Eastern Asia,Asia,,,6,1,14,,100,114,,74.39638749
